code,nationality,country,iso_alpha_3_code
9897,VIRGENENSE BRITÁNICO,"VIRGENES BRITÁNICAS, ISLAS",VGB
1084,VIRGENENSE ESTADOUNIDENSE,"VÍRGENES DE LOS ESTADOS UNIDOS, ISLAS",VIR
1085,WALISIANO,WALLIS Y FUTUNA,WLF
1086,YEMENÍ,YEMEN,YEM
9750,SURYEMENÍ,"YEMEN DEL SUR, REPÚBLICA",YEM
9439,YIBUTIANO,YIBUTI,DJI
9756,YUGOSLAVO,YUGOSLAVIA,
9758,ZAIREÑO,ZAIRE,COD
9759,ZAMBIANO,ZAMBIA,ZMB
9760,ZIMBABUENSE,ZIMBABUE,ZWE
